kod;geo;urban_popdens
;Polska;2212
;dolnośląskie;2003
;kujawsko-pomorskie;2161
;lubelskie;2140
;lubuskie;1531
;łódzkie;2239
;małopolskie;3407
;mazowieckie;2549
;opolskie;1687
;podkarpackie;2378
;podlaskie;1516
;pomorskie;2346
;śląskie;2835
;świętokrzyskie;2183
;warmińsko-mazurskie;1508
;wielkopolskie;2079
;zachodniopomorskie;1646
