kod;geo;pkb
0000000;Polska;100.0
0200000;dolnośląskie;109.7
0400000;kujawsko-pomorskie;81.2
0600000;lubelskie;67.8
0800000;lubuskie;82.3
1000000;łódzkie;93.1
1200000;małopolskie;92.1
1400000;mazowieckie;160.5
1600000;opolskie;79.4
1800000;podkarpackie;70.6
2000000;podlaskie;71.7
2200000;pomorskie;97.2
2400000;śląskie;103.9
2600000;świętokrzyskie;72.3
2800000;warmińsko-mazurskie;69.0
3000000;wielkopolskie;108.0
3200000;zachodniopomorskie;83.2
