wid;woj;mediana2019
00;Polska;41.3
02;dolnośląskie;42.0
04;kujawsko-pomorskie;41.3
06;lubelskie;41.5
08;lubuskie;41.2
10;łódzkie;43.0
12;małopolskie;40.0
14;mazowieckie;40.9
16;opolskie;43.1
18;podkarpackie;40.3
20;podlaskie;41.4
22;pomorskie;40.0
24;śląskie;42.7
26;świętokrzyskie;42.7
28;warmińsko-MAZURSKIE;40.7
30;wielkopolskie;40.1
32;zachodniopomorskie;42.1
