year;dow;date;days;dateEnd;woj;newc;newd
2020;15;2020-04-13;7;2020-04-19;zachodniopomorskie;73;2
2020;15;2020-04-13;7;2020-04-19;łódzkie;131;3
2020;15;2020-04-13;7;2020-04-19;śląskie;597;30
2020;15;2020-04-13;7;2020-04-19;świętokrzyskie;69;2
2020;16;2020-04-20;7;2020-04-26;Polska;2330;175
2020;16;2020-04-20;7;2020-04-26;dolnośląskie;297;11
2020;16;2020-04-20;7;2020-04-26;kujawsko-pomorskie;72;10
2020;16;2020-04-20;7;2020-04-26;lubelskie;43;2
2020;16;2020-04-20;7;2020-04-26;lubuskie;6;0
2020;16;2020-04-20;7;2020-04-26;mazowieckie;356;66
2020;16;2020-04-20;7;2020-04-26;małopolskie;175;10
2020;16;2020-04-20;7;2020-04-26;opolskie;87;10
2020;16;2020-04-20;7;2020-04-26;podkarpackie;50;0
2020;16;2020-04-20;7;2020-04-26;podlaskie;40;0
2020;16;2020-04-20;7;2020-04-26;pomorskie;137;1
2020;16;2020-04-20;7;2020-04-26;warmińsko-mazurskie;4;0
2020;16;2020-04-20;7;2020-04-26;wielkopolskie;287;26
2020;16;2020-04-20;7;2020-04-26;zachodniopomorskie;89;5
2020;16;2020-04-20;7;2020-04-26;łódzkie;195;11
2020;16;2020-04-20;7;2020-04-26;śląskie;444;20
2020;16;2020-04-20;7;2020-04-26;świętokrzyskie;48;3
2020;17;2020-04-27;7;2020-05-03;Polska;2076;143
2020;17;2020-04-27;7;2020-05-03;dolnośląskie;304;11
2020;17;2020-04-27;7;2020-05-03;kujawsko-pomorskie;79;3
2020;17;2020-04-27;7;2020-05-03;lubelskie;23;2
2020;17;2020-04-27;7;2020-05-03;lubuskie;1;0
2020;17;2020-04-27;7;2020-05-03;mazowieckie;160;33
2020;17;2020-04-27;7;2020-05-03;małopolskie;123;4
2020;17;2020-04-27;7;2020-05-03;opolskie;59;4
2020;17;2020-04-27;7;2020-05-03;podkarpackie;37;8
2020;17;2020-04-27;7;2020-05-03;podlaskie;17;2
2020;17;2020-04-27;7;2020-05-03;pomorskie;98;12
2020;17;2020-04-27;7;2020-05-03;warmińsko-mazurskie;2;0
2020;17;2020-04-27;7;2020-05-03;wielkopolskie;211;16
2020;17;2020-04-27;7;2020-05-03;zachodniopomorskie;59;1
2020;17;2020-04-27;7;2020-05-03;łódzkie;194;13
2020;17;2020-04-27;7;2020-05-03;śląskie;689;33
2020;17;2020-04-27;7;2020-05-03;świętokrzyskie;20;1
2020;18;2020-05-04;7;2020-05-10;Polska;2303;122
2020;18;2020-05-04;7;2020-05-10;dolnośląskie;357;15
2020;18;2020-05-04;7;2020-05-10;kujawsko-pomorskie;17;3
2020;18;2020-05-04;7;2020-05-10;lubelskie;14;0
2020;18;2020-05-04;7;2020-05-10;lubuskie;4;0
2020;18;2020-05-04;7;2020-05-10;mazowieckie;283;15
2020;18;2020-05-04;7;2020-05-10;małopolskie;103;4
2020;18;2020-05-04;7;2020-05-10;opolskie;68;6
2020;18;2020-05-04;7;2020-05-10;podkarpackie;21;4
2020;18;2020-05-04;7;2020-05-10;podlaskie;6;2
2020;18;2020-05-04;7;2020-05-10;pomorskie;37;11
2020;18;2020-05-04;7;2020-05-10;warmińsko-mazurskie;14;0
2020;18;2020-05-04;7;2020-05-10;wielkopolskie;154;23
2020;18;2020-05-04;7;2020-05-10;zachodniopomorskie;59;6
2020;18;2020-05-04;7;2020-05-10;łódzkie;129;6
2020;18;2020-05-04;7;2020-05-10;śląskie;990;23
2020;18;2020-05-04;7;2020-05-10;świętokrzyskie;47;4
2020;19;2020-05-11;7;2020-05-17;Polska;2533;125
2020;19;2020-05-11;7;2020-05-17;dolnośląskie;164;22
2020;19;2020-05-11;7;2020-05-17;kujawsko-pomorskie;8;11
2020;19;2020-05-11;7;2020-05-17;lubelskie;14;0
2020;19;2020-05-11;7;2020-05-17;lubuskie;0;0
2020;19;2020-05-11;7;2020-05-17;mazowieckie;179;10
2020;19;2020-05-11;7;2020-05-17;małopolskie;81;4
2020;19;2020-05-11;7;2020-05-17;opolskie;54;5
2020;19;2020-05-11;7;2020-05-17;podkarpackie;3;3
2020;19;2020-05-11;7;2020-05-17;podlaskie;4;2
2020;19;2020-05-11;7;2020-05-17;pomorskie;21;2
2020;19;2020-05-11;7;2020-05-17;warmińsko-mazurskie;8;0
2020;19;2020-05-11;7;2020-05-17;wielkopolskie;125;23
2020;19;2020-05-11;7;2020-05-17;zachodniopomorskie;21;2
2020;19;2020-05-11;7;2020-05-17;łódzkie;62;8
2020;19;2020-05-11;7;2020-05-17;śląskie;1773;28
2020;19;2020-05-11;7;2020-05-17;świętokrzyskie;16;5
2020;20;2020-05-18;7;2020-05-24;Polska;2797;71
2020;20;2020-05-18;7;2020-05-24;dolnośląskie;252;7
2020;20;2020-05-18;7;2020-05-24;kujawsko-pomorskie;11;2
2020;20;2020-05-18;7;2020-05-24;lubelskie;32;1
2020;20;2020-05-18;7;2020-05-24;lubuskie;11;0
2020;20;2020-05-18;7;2020-05-24;mazowieckie;247;15
2020;20;2020-05-18;7;2020-05-24;małopolskie;48;1
2020;20;2020-05-18;7;2020-05-24;opolskie;49;6
2020;20;2020-05-18;7;2020-05-24;podkarpackie;4;4
2020;20;2020-05-18;7;2020-05-24;podlaskie;30;0
2020;20;2020-05-18;7;2020-05-24;pomorskie;31;2
2020;20;2020-05-18;7;2020-05-24;warmińsko-mazurskie;5;0
2020;20;2020-05-18;7;2020-05-24;wielkopolskie;258;6
2020;20;2020-05-18;7;2020-05-24;zachodniopomorskie;28;1
2020;20;2020-05-18;7;2020-05-24;łódzkie;107;10
2020;20;2020-05-18;7;2020-05-24;śląskie;1643;13
2020;20;2020-05-18;7;2020-05-24;świętokrzyskie;41;3
2020;21;2020-05-25;7;2020-05-31;Polska;2460;68
2020;21;2020-05-25;7;2020-05-31;dolnośląskie;176;8
2020;21;2020-05-25;7;2020-05-31;kujawsko-pomorskie;1;1
2020;21;2020-05-25;7;2020-05-31;lubelskie;59;0
2020;21;2020-05-25;7;2020-05-31;lubuskie;13;0
2020;21;2020-05-25;7;2020-05-31;mazowieckie;364;17
2020;21;2020-05-25;7;2020-05-31;małopolskie;49;0
2020;21;2020-05-25;7;2020-05-31;opolskie;50;2
2020;21;2020-05-25;7;2020-05-31;podkarpackie;9;0
2020;21;2020-05-25;7;2020-05-31;podlaskie;32;0
2020;21;2020-05-25;7;2020-05-31;pomorskie;20;5
2020;21;2020-05-25;7;2020-05-31;warmińsko-mazurskie;4;0
2020;21;2020-05-25;7;2020-05-31;wielkopolskie;95;8
2020;21;2020-05-25;7;2020-05-31;zachodniopomorskie;14;0
2020;21;2020-05-25;7;2020-05-31;łódzkie;206;8
2020;21;2020-05-25;7;2020-05-31;śląskie;1270;17
2020;21;2020-05-25;7;2020-05-31;świętokrzyskie;98;2
2020;22;2020-06-01;7;2020-06-07;Polska;2775;93
2020;22;2020-06-01;7;2020-06-07;dolnośląskie;114;13
2020;22;2020-06-01;7;2020-06-07;kujawsko-pomorskie;7;1
2020;22;2020-06-01;7;2020-06-07;lubelskie;21;1
2020;22;2020-06-01;7;2020-06-07;lubuskie;10;0
2020;22;2020-06-01;7;2020-06-07;mazowieckie;298;21
2020;22;2020-06-01;7;2020-06-07;małopolskie;134;0
2020;22;2020-06-01;7;2020-06-07;opolskie;85;2
2020;22;2020-06-01;7;2020-06-07;podkarpackie;4;2
2020;22;2020-06-01;7;2020-06-07;podlaskie;68;0
2020;22;2020-06-01;7;2020-06-07;pomorskie;16;1
2020;22;2020-06-01;7;2020-06-07;warmińsko-mazurskie;1;0
2020;22;2020-06-01;7;2020-06-07;wielkopolskie;123;4
2020;22;2020-06-01;7;2020-06-07;zachodniopomorskie;18;0
2020;22;2020-06-01;7;2020-06-07;łódzkie;454;13
2020;22;2020-06-01;7;2020-06-07;śląskie;1387;34
2020;22;2020-06-01;7;2020-06-07;świętokrzyskie;35;1
2020;23;2020-06-08;7;2020-06-14;Polska;2831;90
2020;23;2020-06-08;7;2020-06-14;dolnośląskie;59;8
2020;23;2020-06-08;7;2020-06-14;kujawsko-pomorskie;25;2
2020;23;2020-06-08;7;2020-06-14;lubelskie;29;0
2020;23;2020-06-08;7;2020-06-14;lubuskie;6;0
2020;23;2020-06-08;7;2020-06-14;mazowieckie;479;13
2020;23;2020-06-08;7;2020-06-14;małopolskie;149;0
