wid;woj;liczba_ludnosci_na_lozko
00;POLSKA;230
02;DOLNOŚLĄSKIE;221
04;KUJAWSKO-POMORSKIE;234
06;LUBELSKIE;211
08;LUBUSKIE;254
10;ŁÓDZKIE;213
12;MAŁOPOLSKIE;248
14;MAZOWIECKIE;226
16;OPOLSKIE;256
18;PODKARPACKIE;228
20;PODLASKIE;232
22;POMORSKIE;278
24;ŚLĄSKIE;194
26;ŚWIĘTOKRZYSKIE;231
28;WARMIŃSKO-MAZURSKIE;228
30;WIELKOPOLSKIE;267
32;ZACHODNIOPOMORSKIE;247
