"","CodeM49","Area","Item","Element","YearCode","Unit","Value","X"
"70","152","Chile","Population","TotalPop",2010,"1000 persons",17063,NA
"71","100","Bulgaria","Population","TotalPop",2020,"1000 persons",6948.44,NA
"72","159","China","Population","TotalPop",2010,"1000 persons",1399503,NA
"73","008","Albania","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3301,NA
"74","050","Bangladesh","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2411,NA
"75","012","Algeria","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3487,NA
"76","854","Burkina Faso","Population","TotalPop",2020,"1000 persons",20903.27,NA
"77","344","China  Hong Kong SAR","Population","TotalPop",2010,"1000 persons",6966,NA
"78","446","China  Macao SAR","Population","TotalPop",2010,"1000 persons",538,NA
"79","024","Angola","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2390,NA
"80","052","Barbados","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2953,NA
"81","132","Cabo Verde","Population","TotalPop",2020,"1000 persons",555.99,NA
"82","028","Antigua and Barbuda","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2420,NA
"83","112","Belarus","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3178,NA
"84","156","China  mainland","Population","TotalPop",2010,"1000 persons",1368811,NA
"85","116","Cambodia","Population","TotalPop",2020,"1000 persons",16718.97,NA
"86","032","Argentina","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3338,NA
"87","158","China  Taiwan Province of","Population","TotalPop",2010,"1000 persons",23188,NA
"88","056","Belgium","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3708,NA
"89","051","Armenia","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3215,NA
"90","120","Cameroon","Population","TotalPop",2020,"1000 persons",26545.86,NA
"91","084","Belize","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2728,NA
"92","170","Colombia","Population","TotalPop",2010,"1000 persons",45223,NA
"93","124","Canada","Population","TotalPop",2020,"1000 persons",37742.15,NA
"94","204","Benin","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2672,NA
"95","036","Australia","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3422,NA
"96","174","Comoros","Population","TotalPop",2010,"1000 persons",690,NA
"97","048","Bahrain","Animal Products","FoodS (kcal/c/d)",2020,"kcal/c/d",840,NA
"98","040","Austria","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3698,NA
"99","140","Central African Republic","Population","TotalPop",2020,"1000 persons",4829.77,NA
"100","178","Congo","Population","TotalPop",2010,"1000 persons",4274,NA
"101","068","Bolivia (Plurinational State of)","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2295,NA
"102","188","Costa Rica","Population","TotalPop",2010,"1000 persons",4577,NA
"103","148","Chad","Population","TotalPop",2020,"1000 persons",16425.86,NA
"104","031","Azerbaijan","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3414,NA
"105","070","Bosnia and Herzegovina","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3061,NA
"106","384","C\xF4te d'Ivoire","Population","TotalPop",2010,"1000 persons",20533,NA
"107","044","Bahamas","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2528,NA
"108","152","Chile","Population","TotalPop",2020,"1000 persons",19116.2,NA
"109","191","Croatia","Population","TotalPop",2010,"1000 persons",4338,NA
"110","072","Botswana","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2419,NA
"111","159","China","Population","TotalPop",2020,"1000 persons",1471286.87,NA
"112","048","Bahrain","Animal Products","ProtSQ (g/c/d)",2020,"g/c/d",52.53,NA
"113","050","Bangladesh","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2575,NA
"114","076","Brazil","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3253,NA
"115","192","Cuba","Population","TotalPop",2010,"1000 persons",11226,NA
"116","344","China  Hong Kong SAR","Population","TotalPop",2020,"1000 persons",7496.98,NA
"117","004","Afghanistan","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",59.23,NA
"118","446","China  Macao SAR","Population","TotalPop",2020,"1000 persons",649.34,NA
"119","108","Burundi","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",1744,NA
"120","100","Bulgaria","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2772,NA
"121","196","Cyprus","Population","TotalPop",2010,"1000 persons",1113,NA
"122","008","Albania","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",105.59,NA
"123","052","Barbados","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3009,NA
"124","012","Algeria","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",87.27,NA
"125","203","Czechia","Population","TotalPop",2010,"1000 persons",10554,NA
"126","112","Belarus","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3313,NA
"127","854","Burkina Faso","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2699,NA
"128","156","China  mainland","Population","TotalPop",2020,"1000 persons",1439323.78,NA
